,Month,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
36,clyde bot discord,0.0,9.0,1.8,0.0,0.0,6.6,1.75,20.25,54.8,15.5,17.0,47.8
37,uzox,8.75,4.0,34.4,15.25,21.25,12.6,22.75,23.25,24.8,24.5,14.75,21.8
38,discord music bot that plays spotify,16.5,0.0,0.0,0.0,20.25,0.0,33.0,6.75,10.4,0.0,8.5,31.4
39,aiode,26.25,17.5,19.6,16.75,13.75,12.8,32.25,24.0,21.6,24.75,31.75,47.6
40,aiode discord bot,10.0,3.5,9.0,8.25,5.25,12.6,21.5,16.75,12.8,17.75,24.0,38.8
41,jockie music,20.0,25.25,37.8,47.75,33.25,35.2,54.25,41.0,48.8,56.25,50.0,69.0
42,jockie music bot,22.75,19.75,22.6,40.75,26.75,25.6,57.25,31.25,40.0,45.25,36.75,43.8
43,vexera discord bot,3.5,16.75,41.2,20.5,22.75,32.0,50.75,22.5,26.2,53.0,39.75,38.8
44,netflix discord bot,3.0,0.0,25.6,14.25,2.75,5.6,4.0,0.0,2.4,1.75,6.0,0.0
45,mee6 discord bot,82.0,68.0,68.8,66.0,44.0,61.6,71.75,67.25,63.2,57.5,68.5,70.2
46,chat bot ai gpt,2.25,4.5,2.4,1.0,75.75,52.8,42.5,42.75,55.4,32.0,20.25,13.4
47,chat ai gpt,0.0,0.0,0.0,0.75,41.5,58.8,62.25,77.75,91.0,75.75,52.25,44.4
48,chat bot gpt,0.0,1.0,0.6,2.0,73.5,64.2,69.25,71.25,77.6,48.0,31.5,26.0
49,chat gpt,0.0,0.0,0.0,0.25,27.75,44.2,61.0,82.25,90.6,71.75,50.75,37.6
50,gpt,1.0,1.0,1.0,1.5,29.25,46.2,62.0,86.5,94.8,75.75,53.0,40.4
51,gpt chat,0.0,0.0,0.0,0.25,27.75,44.2,61.0,82.25,90.6,71.75,50.75,37.6
52,open ai chat,0.5,0.5,0.0,3.25,77.25,70.2,50.75,56.5,55.0,44.25,30.0,26.2
53,open ai chat bot,0.75,1.25,0.0,2.25,57.5,20.6,8.25,5.5,4.6,1.5,2.5,2.4
54,open ai,7.5,8.0,9.0,11.75,74.25,76.6,72.0,77.75,80.2,71.25,57.5,50.0
55,chat bot open ai,0.75,1.25,0.0,2.25,57.5,20.6,8.25,5.5,4.6,1.5,2.5,2.4
56,mee6,87.75,73.25,72.0,69.5,62.25,64.8,69.5,67.25,63.4,57.25,62.25,69.2
57,chatbot,13.5,11.5,10.8,12.25,54.0,58.0,84.25,65.5,66.2,49.25,39.25,39.6
58,ai chatbot,6.0,4.75,4.6,5.75,46.5,43.8,81.5,57.75,79.2,58.25,47.0,46.8
59,chatgpt,0.0,0.0,0.0,0.75,34.5,54.0,81.75,88.0,96.4,78.5,60.75,50.6
60,ai chatgpt,0.0,0.0,0.0,0.75,34.0,50.0,65.5,70.5,87.0,74.0,55.5,47.0
61,free chat ai bot,2.5,0.0,8.2,0.0,20.0,34.8,25.25,32.25,69.6,70.75,41.75,41.8
62,ai bot free,9.0,14.0,11.8,11.0,20.25,31.4,32.25,42.75,74.6,63.0,54.5,49.8
63,ai chat free,1.0,1.25,1.0,1.0,18.25,36.4,41.0,53.75,82.0,78.5,68.25,75.6
64,free chat bot,12.75,14.75,11.4,2.5,36.0,50.4,70.25,67.5,81.6,79.5,63.5,67.4
65,chat with ai,5.0,4.5,3.6,4.5,23.75,32.4,48.75,57.5,79.8,72.5,55.5,42.0
66,chat with ai bot,5.5,8.75,5.4,12.5,28.25,39.8,55.25,43.5,54.6,43.0,55.25,52.0
67,youtube discord bot,23.75,29.75,76.2,52.5,44.0,43.0,52.75,41.5,38.2,32.5,46.5,53.4
68,ai character chat bot,0.0,0.0,0.0,7.75,0.0,8.0,22.0,18.5,72.4,46.75,28.25,31.6
69,google chat bot ai,4.0,4.0,11.8,12.25,21.25,15.2,53.0,38.25,40.0,46.25,43.5,20.8
70,google chat bot,8.25,10.75,11.8,8.25,21.0,24.0,62.5,51.5,44.4,37.5,26.0,20.8
71,google ai,13.0,13.5,14.6,13.75,20.75,28.2,54.5,53.75,69.6,85.75,65.5,54.0
72,google ai bot,2.75,10.0,6.8,6.5,14.5,20.4,58.0,35.75,34.6,39.5,27.5,19.2
73,character ai,0.0,0.0,0.8,1.25,4.25,11.4,17.5,20.25,67.0,87.5,68.0,77.6
74,character ai chat,0.25,0.5,1.8,1.0,5.5,23.6,33.25,29.25,75.6,79.5,54.5,68.0
75,open ai chat gpt,0.5,0.0,0.4,1.75,59.25,77.4,54.25,70.75,72.6,56.25,37.75,30.2
76,open ai gpt,0.75,0.5,0.4,4.5,67.0,79.8,59.0,81.25,83.6,61.75,42.75,34.4
77,bing ai chat,0.25,0.75,0.2,0.75,0.25,0.8,59.5,41.25,33.8,26.5,18.25,20.4
78,mee6 bot,86.5,66.0,71.2,66.75,51.5,60.0,71.25,64.25,58.4,49.75,62.75,59.6
79,bing ai chat bot,0.0,0.0,7.4,4.25,0.0,1.8,57.0,20.5,13.0,20.5,7.25,0.0
80,bing ai,0.0,0.25,0.2,0.0,0.5,0.8,59.0,30.75,32.0,30.5,26.75,23.4
81,bing chat,0.0,0.0,0.0,0.25,0.5,1.2,57.0,36.0,28.0,24.75,18.25,18.4
82,bing chat bot,1.25,1.0,1.4,0.0,0.0,0.0,53.5,15.25,9.4,13.25,5.0,1.4
83,chatbot gpt,0.0,0.25,0.0,2.75,83.25,88.6,75.25,64.75,54.0,32.5,24.5,21.0
84,chat gpt free,0.0,0.25,0.0,0.5,23.5,42.2,51.25,77.0,93.8,82.0,63.25,59.0
85,snapchat ai bot,0.25,0.0,0.2,0.25,0.0,0.0,0.25,0.75,28.4,2.75,1.25,1.0
86,bard,20.5,20.5,19.8,18.25,18.25,19.8,39.25,45.75,46.4,75.0,52.25,51.6
87,ai bot writer,5.0,4.0,7.6,25.5,47.5,42.0,36.0,67.5,57.6,47.75,8.5,6.8
88,bard ai,0.0,0.25,0.0,0.0,0.25,0.2,33.5,27.75,32.8,70.75,45.75,40.2
89,mee6 discord,86.25,71.75,73.2,70.0,52.0,63.4,72.0,66.5,66.8,54.5,65.0,61.2
90,ai writing,10.75,12.75,16.2,17.75,50.25,66.2,66.25,74.0,86.6,79.0,61.0,59.8
91,mario ai chat bot,0.0,15.75,0.0,0.0,0.0,23.6,40.25,0.0,15.2,12.0,4.5,6.2
92,microsoft chat bot,2.5,0.0,4.2,2.75,0.0,14.0,54.5,12.5,8.0,5.5,16.0,3.4
93,google bard,0.0,0.0,0.6,0.25,0.5,0.6,31.0,35.5,34.4,73.75,44.75,39.6
94,google bard ai,0.25,0.25,0.0,0.0,0.5,0.0,39.5,31.0,31.4,67.0,37.75,30.6
95,quill bot,28.25,54.75,57.0,58.0,50.5,63.4,93.5,87.75,89.4,65.5,31.0,20.4
96,bing ai chatbot,0.25,0.5,0.2,0.0,0.0,0.8,54.25,19.75,15.6,12.75,9.25,8.4
97,ai detector,0.25,0.0,0.0,0.25,2.25,11.8,25.75,43.25,74.6,69.0,34.75,27.4
98,quill bot ai,19.25,0.0,5.0,6.0,10.75,30.2,38.75,60.25,49.6,44.25,8.5,35.0
99,docs,61.25,95.5,94.6,82.75,62.25,78.6,86.25,77.75,78.0,66.0,37.25,28.0
100,quillbot,42.5,70.0,74.6,73.0,61.0,74.2,94.5,89.0,90.4,72.25,48.75,40.0
101,essay bot,15.5,34.75,30.2,23.0,47.25,41.4,46.25,41.25,33.6,27.0,7.25,10.0
102,plagiarism checker,19.75,44.25,48.2,48.0,60.75,48.0,80.0,76.5,87.0,60.5,31.5,26.4
103,grammarly,68.25,96.0,94.6,77.5,61.5,72.8,82.25,77.0,71.0,63.75,44.75,38.0
104,paraphrase,39.5,73.75,77.6,74.5,55.75,67.8,89.75,86.75,88.8,68.25,43.75,34.6
105,quill grammar,31.25,64.25,41.0,41.0,24.5,72.6,68.5,54.25,42.4,36.5,22.0,13.4
106,paraphrasing tool,33.0,69.75,79.4,73.25,55.75,58.8,89.75,82.75,82.8,56.0,32.0,24.4
107,drive,95.75,91.25,87.0,78.25,78.75,81.2,84.0,87.25,86.2,89.0,87.75,86.6
108,gpt zero,0.0,0.25,0.4,0.5,2.0,20.6,75.5,83.0,87.0,65.0,30.25,16.6
109,slides,66.75,83.5,81.4,79.25,67.0,70.6,75.5,72.75,81.6,83.25,48.25,38.6
110,ai checker,0.5,0.75,1.6,1.5,7.75,15.0,28.5,42.0,71.0,68.75,34.0,26.8
111,quote bot,36.75,36.0,48.6,39.75,28.25,37.8,71.5,70.0,52.4,50.75,40.75,28.2
112,word counter,58.25,93.75,90.8,73.5,56.0,74.6,89.25,76.0,77.2,60.5,43.0,32.6
113,chat gpt checker,1.0,0.25,0.8,1.0,27.5,28.4,55.75,68.75,85.0,62.5,33.25,30.8
114,turnitin,39.75,69.0,64.4,56.25,55.5,43.2,67.5,76.25,89.0,66.0,29.5,22.4
115,chat gpt detector,0.0,0.0,1.2,0.0,8.25,33.6,64.5,75.0,88.2,69.0,36.25,25.2
116,chat gbt,0.0,0.0,0.0,0.0,30.75,41.6,57.0,73.5,90.4,71.0,47.5,43.2
117,rephrase,39.0,61.5,64.2,59.5,51.25,59.0,80.5,78.75,91.8,69.0,49.25,43.2
118,chatgpt detector,0.0,0.0,0.4,0.5,5.75,20.4,52.5,70.25,88.0,65.25,35.5,29.2
119,essay writer,13.5,28.0,32.4,30.25,52.25,53.4,63.25,61.0,56.8,42.75,20.75,14.6
120,chatgbt,0.25,0.0,0.0,0.5,42.25,51.2,73.0,79.75,90.0,67.5,49.0,41.0
121,grammerly,61.75,92.0,93.6,81.25,63.5,73.8,89.5,81.5,81.6,73.5,54.0,50.2
122,cactus ai,0.0,0.75,0.6,1.5,25.25,92.4,72.25,67.75,42.6,18.25,7.25,4.2
123,chegg,53.5,90.25,87.0,77.25,55.5,57.2,77.0,59.75,67.0,42.25,36.0,33.6
124,plagarism checker,12.5,32.5,39.2,39.75,57.5,41.0,67.25,63.5,75.6,57.75,25.0,24.6
125,gptzero,0.0,0.5,0.2,0.75,0.75,48.8,82.5,74.25,84.0,59.0,26.25,17.0
126,quillbot paraphrase,39.75,66.5,69.6,63.75,53.5,61.8,79.25,87.5,76.6,54.0,34.75,37.2
127,openai,4.75,5.25,6.8,10.0,65.75,69.6,76.5,85.0,81.0,65.75,50.5,41.8
128,chat got,4.0,3.5,3.8,4.0,28.75,44.8,58.25,79.0,93.4,79.0,55.0,49.2
129,chatgpt zero,0.0,0.0,0.6,0.0,5.75,25.2,81.5,78.5,90.2,58.5,34.75,20.4
130,chatgpt login,0.0,0.0,0.0,0.0,4.75,16.0,48.25,74.0,92.0,77.5,60.0,47.8
131,grammer checker,43.75,70.75,73.2,68.0,63.0,73.6,93.0,80.0,88.4,66.25,55.75,51.0
132,chat gpt 4,0.0,0.0,0.0,0.0,1.25,2.2,3.0,71.0,50.4,33.25,23.25,18.8
133,qui,67.5,71.25,84.2,79.25,72.5,75.8,75.5,76.75,80.8,82.25,71.25,70.2
134,gpt ai,0.75,0.5,1.0,2.25,44.75,56.6,61.0,74.75,91.0,75.5,52.25,44.0
135,gpt ai chat,0.0,0.0,0.0,0.75,41.5,58.8,62.25,77.75,91.0,75.75,52.25,42.6
136,ai gpt chat,0.0,0.0,0.0,0.75,41.5,58.8,62.25,77.75,91.0,75.75,52.25,42.6
137,open chat ai,0.5,0.5,0.0,3.25,77.25,70.2,50.75,56.5,55.0,44.25,30.0,26.0
138,open chat gpt,0.25,0.0,0.2,2.75,58.5,78.6,60.25,74.5,78.2,61.25,43.0,38.0
139,chat bot,20.0,18.5,18.0,18.75,67.0,59.2,77.25,63.75,76.0,58.75,48.5,45.8
140,chat bot ai,4.0,5.25,4.0,6.75,68.75,47.8,52.0,42.5,64.6,46.75,34.5,35.6
141,ai bot,8.0,6.25,5.6,5.75,24.5,27.2,26.0,23.0,54.6,30.5,24.0,24.8
142,ai character chat,0.25,0.5,1.8,1.0,5.5,23.6,33.25,29.25,75.6,79.5,54.5,70.0
143,free ai,11.0,12.25,14.6,24.75,37.0,38.0,44.5,52.25,75.4,80.0,85.5,90.2
144,ai chat generator,1.25,1.0,2.0,1.0,40.5,54.2,61.25,78.25,90.6,78.25,65.75,60.0
145,ai generator,20.0,18.0,18.6,22.75,52.5,31.4,35.5,41.5,54.0,54.0,47.75,52.8
146,ai character,0.0,0.0,0.8,1.25,4.25,11.4,17.5,20.25,67.0,87.5,68.0,78.0
147,google chat,61.0,61.25,62.4,61.0,63.5,76.0,84.5,85.75,93.0,89.5,76.5,69.6
148,bing chat ai,0.25,0.75,0.2,0.75,0.25,0.8,59.5,41.25,33.8,26.5,18.25,15.0
149,chat gpt login,0.0,0.0,0.0,0.25,7.0,52.2,77.75,83.25,91.8,72.0,46.5,32.4
150,chat gpt ai login,0.0,1.0,1.2,2.75,14.5,63.8,64.25,74.75,84.6,66.5,37.0,26.8
151,ai chat detector,2.75,2.75,1.2,1.75,6.5,19.0,43.0,66.75,85.4,66.0,32.25,24.4
152,chat gbt ai,1.75,0.0,0.6,2.75,69.0,57.0,56.5,58.25,76.2,59.0,38.5,30.8
153,chat gpt ai detector,0.0,4.5,2.2,1.0,7.25,19.4,41.25,71.25,87.4,64.0,34.75,27.8
154,chatgpt open ai,0.75,0.75,0.8,2.0,58.75,73.8,73.5,82.25,80.2,72.25,48.75,43.4
155,chat gtp,0.0,0.0,0.2,0.5,55.0,47.6,55.25,63.0,73.0,52.25,35.75,32.8
156,open ai login,1.5,2.25,3.6,1.75,12.75,33.4,36.5,71.5,86.0,55.0,33.75,21.2
157,ai like chat gpt,0.0,3.0,4.6,8.0,17.75,57.6,73.25,64.75,72.0,63.25,36.25,47.2
158,chat gpt stock,0.0,0.0,0.0,0.0,14.5,53.0,43.25,26.5,23.4,20.75,15.25,12.0
159,ai image generator,45.75,27.5,26.6,27.0,53.75,35.6,37.75,48.0,67.6,68.75,64.0,66.0
160,the quill,34.0,39.75,39.6,46.5,43.25,39.6,49.0,44.25,49.8,70.5,39.0,37.8
161,peter quill,14.0,12.0,11.2,21.25,19.0,11.8,12.25,8.75,20.8,65.75,23.75,21.6
162,how to quill,54.25,63.0,61.0,61.5,62.0,64.0,75.5,67.25,75.2,75.0,60.0,66.2
163,quill login,59.0,81.5,62.4,53.5,39.75,68.0,63.25,57.25,47.6,31.75,21.5,18.8
164,quill office,78.25,65.5,66.8,63.0,55.25,69.2,81.5,67.0,61.6,67.75,64.25,60.0
165,what is quill,44.5,62.75,66.6,71.25,56.5,54.8,73.5,74.5,64.4,76.25,42.0,39.4
166,night quill,35.75,64.5,65.0,85.75,86.75,67.6,59.25,59.75,53.2,46.25,40.75,52.2
167,quill pen,68.0,65.0,77.6,63.5,79.0,66.4,75.75,70.5,59.6,55.0,54.25,46.8
168,quill supplies,82.25,71.75,71.6,58.75,41.5,77.2,79.75,78.75,64.4,79.75,75.75,58.6
169,quill office supplies,67.0,63.0,55.6,47.75,38.25,55.2,66.25,69.5,48.6,67.25,72.0,45.2
170,office supplies,54.5,50.75,48.8,43.0,45.75,50.0,48.75,46.0,44.0,39.75,41.25,52.8
171,quill guardians of the galaxy,9.25,5.5,6.4,17.5,20.0,8.0,9.0,5.25,17.2,60.75,21.25,25.0
172,guardians of the galaxy,5.0,4.25,3.6,10.0,7.75,5.2,6.25,5.0,24.6,58.25,18.25,17.6
173,tongue and quill,70.0,67.0,72.6,58.75,45.5,77.2,74.0,63.25,72.6,46.5,65.75,46.6
174,what is a quill,33.75,53.0,63.0,71.25,43.75,59.2,71.25,68.5,65.6,52.75,37.75,39.8
175,book and quill,41.0,31.75,34.8,37.25,52.25,50.4,52.75,32.25,44.0,50.0,71.0,61.0
176,ink quill,52.5,57.75,53.2,59.25,77.0,61.4,68.75,67.0,56.8,58.25,42.25,29.6
177,quill it,54.75,67.0,62.8,43.25,57.25,51.4,83.5,56.25,70.4,64.0,50.25,28.2
178,day quill,39.25,47.75,40.8,65.0,53.5,37.2,50.75,36.75,39.8,32.75,32.0,15.6
179,quill meaning,46.5,67.0,63.6,45.0,56.25,40.4,69.75,43.0,62.2,64.25,31.0,42.8
180,feather quill,60.75,51.25,57.0,52.0,41.5,67.2,60.5,48.5,43.8,48.0,39.75,25.8
181,uline,86.5,85.0,85.2,77.5,77.25,87.2,86.75,86.25,84.0,78.25,91.0,72.8
182,are mantis and peter quill siblings,0.0,7.0,0.0,8.5,7.75,1.0,3.25,0.0,0.0,1.25,0.0,20.0
183,quillbot ai,4.75,13.0,13.6,12.25,26.25,45.8,63.0,71.75,87.2,60.25,32.5,25.8
184,kevin bacon,18.25,16.25,23.8,33.0,24.5,32.4,31.75,18.75,15.4,15.0,12.75,21.6
185,mantis peter quill sister,0.0,9.75,0.0,34.5,23.0,6.2,0.0,3.5,6.6,10.75,0.0,8.0
186,quill macon ga,3.5,3.5,2.2,0.0,3.0,7.2,9.75,0.0,2.8,4.75,12.25,23.4
187,who dies in guardians of the galaxy 3,0.75,0.0,0.0,1.0,1.25,1.0,1.5,2.25,23.0,47.75,5.75,11.0
188,quill ai,4.5,3.25,7.0,27.5,7.75,36.4,60.5,67.25,70.2,56.0,27.0,23.6
189,peter quill sister,5.5,2.5,8.0,38.75,19.0,3.6,3.25,4.25,10.2,21.5,3.5,0.0
190,adam warlock,7.5,5.5,4.8,17.0,12.75,9.6,8.5,4.5,16.0,59.75,14.25,15.8
191,the recruit,1.5,2.0,2.0,2.75,45.0,17.8,6.75,7.25,6.6,5.25,4.5,4.0
192,guardians of the galaxy 3,1.0,1.0,0.8,2.5,1.75,1.0,3.25,2.0,24.6,57.0,16.0,16.0
193,peter quill grandfather,0.0,7.0,2.4,2.5,5.0,2.8,2.5,3.0,17.2,18.5,25.25,27.2
194,guill,33.75,31.0,39.6,39.0,29.75,31.4,32.75,29.0,29.4,35.0,78.0,75.8
195,quill apartments milford ma,8.0,22.75,0.0,9.0,49.75,6.8,13.0,18.25,5.8,10.0,0.0,0.0
196,does quill die in guardians of the galaxy 3,0.0,0.0,8.2,0.0,0.0,0.0,6.5,0.0,6.2,63.5,8.0,0.0
197,discord carl bot,77.5,71.0,67.0,53.0,66.75,79.0,75.75,61.75,66.8,74.0,78.25,69.8
198,discord bot,85.0,72.25,72.4,71.75,68.5,71.0,78.75,71.25,71.0,65.25,74.0,78.6
199,discord,89.25,81.0,77.2,77.0,81.75,82.0,84.0,85.75,86.2,84.25,93.25,85.6
200,carl bot roles,76.0,55.0,44.6,50.25,37.25,46.8,67.25,32.25,57.8,54.25,49.25,39.6
201,carl bot reaction roles,70.75,53.75,51.0,49.5,26.25,51.2,60.5,39.0,46.0,45.5,64.25,18.2
202,reaction roles,77.5,79.0,75.8,70.75,62.25,69.8,78.75,74.5,71.2,60.5,60.0,62.6
203,reaction roles bot,84.25,67.25,48.2,45.25,42.75,47.6,49.75,50.0,49.8,53.0,62.75,38.6
204,carl bot dashboard,55.0,46.75,26.8,27.5,26.5,30.8,49.5,41.0,35.0,14.75,39.25,34.2
205,discord reaction roles,75.25,80.5,61.8,59.25,45.0,72.8,75.75,45.75,50.0,63.0,72.75,58.6
206,carlbot,79.25,60.25,64.0,59.75,61.5,72.8,67.25,65.0,63.2,57.5,81.75,69.0
207,reaction role bot,70.25,63.75,41.0,31.5,33.0,34.4,39.25,36.25,56.4,39.0,35.5,45.0
208,carl bot reaction role,36.0,35.5,43.0,6.75,8.5,25.4,46.25,9.25,37.0,52.0,0.0,8.6
209,carl bot commands,15.25,5.75,8.8,4.5,21.75,13.0,8.25,10.25,15.4,14.75,8.75,29.8
210,how to use carl bot,11.75,25.25,8.6,22.5,9.75,11.4,33.0,16.0,9.2,29.25,39.0,15.6
211,dyno discord bot,78.25,71.5,55.4,62.25,59.5,56.6,59.75,48.75,48.8,48.25,55.5,57.2
212,emojis,42.5,45.75,44.2,42.75,43.5,41.4,42.5,57.5,79.2,55.5,50.25,45.0
213,tupperbox invite,48.0,26.25,20.6,47.0,54.25,38.0,40.25,40.5,9.4,7.5,26.5,0.0
214,font changer,82.75,81.75,80.6,82.0,82.75,87.2,88.0,77.0,77.2,77.75,71.25,81.2
215,imgur,91.25,84.75,86.0,81.25,79.25,76.8,76.75,75.75,82.2,81.5,73.5,77.6
216,streamcord,56.5,46.75,55.8,39.5,46.25,59.2,56.25,57.25,49.8,49.0,47.0,36.6
217,cool fonts,85.25,88.5,85.2,79.75,76.5,82.8,84.25,84.75,79.2,83.0,66.0,55.2
218,webp to png,77.0,78.0,80.6,82.25,78.5,85.2,89.0,89.5,91.6,90.5,78.75,77.0
219,message id discord,38.75,61.5,35.8,45.75,28.75,53.6,18.5,23.0,68.0,46.0,33.25,30.0
220,white boy carl,9.5,10.0,9.4,14.25,10.25,23.0,21.5,42.5,79.0,67.5,53.75,30.2
221,red hex code,74.0,69.0,72.2,80.0,66.5,87.2,74.5,80.75,72.2,82.75,69.75,63.4
222,bump reminder bot,0.0,34.75,20.0,29.25,16.0,33.4,8.75,0.0,6.0,28.25,35.5,0.0
223,how to add reaction roles on discord,0.0,16.25,0.0,0.0,12.75,14.8,19.75,41.25,0.0,11.0,22.75,0.0
224,white bot carl,1.25,0.75,1.2,0.0,2.25,2.2,0.0,1.75,1.6,4.5,4.25,24.8
225,probot discord,33.75,32.25,32.8,41.25,34.0,39.8,58.25,29.25,24.0,17.75,22.5,38.4
226,emoji copy and paste,86.75,93.0,93.8,94.0,92.5,91.4,93.0,96.5,94.6,92.5,82.75,79.2
227,security bot discord,13.0,33.5,6.4,48.25,0.0,10.0,18.75,33.75,36.4,36.0,35.25,22.8
228,dyno dashboard,40.5,45.75,30.6,37.25,50.25,43.6,47.75,56.5,30.2,45.5,47.0,48.4
229,verification bot discord,51.75,47.25,33.2,38.75,23.5,32.6,40.0,42.75,41.6,22.0,55.5,46.2
230,probot,38.5,41.75,39.2,48.25,38.0,39.8,66.5,32.0,25.0,26.25,28.5,25.4
231,hex code,77.0,75.25,71.4,69.75,68.0,84.6,84.5,83.0,80.8,79.0,72.5,69.2
232,counting bot,53.25,48.25,47.4,34.75,36.25,36.6,42.5,34.5,36.2,53.25,48.0,60.2
233,reaction role bot discord,41.0,39.0,24.8,34.75,29.5,23.4,21.75,15.75,33.6,44.25,29.5,38.8
234,music bots discord,35.0,28.5,44.6,44.5,33.75,28.0,73.75,41.75,36.6,26.25,38.25,43.8
235,music bots,37.75,34.25,52.0,41.25,33.75,32.0,77.25,43.5,39.4,32.75,44.75,48.6
236,bots for discord,45.75,38.25,47.2,44.75,45.5,42.4,51.5,44.0,46.6,35.75,42.25,58.6
237,discord server bots,77.0,53.25,47.4,48.25,49.5,49.4,47.5,52.75,50.4,44.75,54.75,50.8
238,discord server,87.5,73.75,69.8,74.0,76.25,78.0,76.0,77.0,84.8,82.5,95.25,95.2
239,add discord bots,71.0,47.75,53.0,46.5,43.75,42.8,41.5,51.0,38.4,47.75,47.5,62.0
240,bots on discord,68.5,63.0,63.8,58.75,58.0,60.0,65.0,54.5,57.8,57.25,58.75,54.2
241,add bots to discord,71.0,48.25,48.0,41.75,43.5,44.0,47.75,53.5,43.0,44.75,54.25,48.2
242,best discord bots,84.5,52.0,59.6,57.5,74.75,64.4,68.0,67.25,67.2,43.25,48.75,64.8
243,music discord bot,41.25,40.75,58.6,50.5,41.25,39.8,80.25,55.75,47.4,41.75,53.0,58.6
244,how to add discord bots,73.5,57.0,57.2,46.75,41.25,55.6,45.25,45.5,39.4,50.0,51.25,66.8
