,Month,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07
17,discord spotify bot,61.0,36.5,51.5,58.4,55.0,50.5,44.4,72.25,56.25,54.2,32.5,51.0,34.0
18,mee6 bot,100.0,85.5,67.25,75.0,64.75,53.75,62.4,71.75,68.25,59.8,52.5,62.25,73.0
19,music bot discord 2023,15.0,0.0,3.75,0.0,0.0,3.5,12.4,64.25,36.25,28.2,35.25,31.0,42.5
20,music bot for discord 2023,0.0,11.5,0.0,34.2,0.0,0.0,22.6,64.75,22.25,6.6,26.25,7.5,9.25
21,best discord music bot 2023,0.0,6.75,0.0,12.8,6.0,0.0,7.4,45.75,9.25,36.4,10.0,43.75,26.0
22,best music bot for discord 2023,0.0,15.5,23.25,8.6,25.0,0.0,11.0,41.25,10.25,19.2,0.0,23.75,0.0
23,discord bot,98.0,85.0,73.0,73.4,72.0,69.25,70.8,79.0,71.75,71.4,65.5,74.0,80.25
24,discord music bot that supports youtube,0.0,3.0,1.5,2.4,2.0,4.0,3.6,0.0,1.25,0.0,3.25,2.0,28.25
25,music bots for discord 2023,92.0,41.0,0.0,0.0,0.0,7.25,22.2,43.5,24.75,32.0,5.5,26.5,9.75
26,music bot discord youtube supported,49.0,6.75,0.0,5.6,13.75,39.25,0.0,0.0,6.75,5.6,25.0,28.75,0.0
27,bandcamp,85.0,87.0,81.25,86.2,82.25,83.5,87.6,89.0,85.5,88.0,83.5,84.0,85.5
28,vimeo,16.0,16.25,16.25,17.2,21.75,15.0,17.2,16.75,36.25,52.8,15.5,14.25,13.25
29,uzox discord bot,0.0,2.0,0.0,7.8,15.25,8.75,3.4,10.5,9.0,11.8,7.5,15.75,44.0
30,uzox bot,21.0,9.25,21.75,17.2,11.25,8.75,12.8,36.5,23.0,24.0,24.75,45.5,22.0
31,music bot that plays youtube,0.0,6.0,15.5,45.2,33.75,24.5,42.4,52.75,42.0,55.4,27.0,18.75,15.75
32,uzox,0.0,22.25,0.0,24.8,18.5,35.0,11.2,32.0,11.25,16.6,30.75,27.5,47.5
33,nero bot,0.0,2.0,3.25,6.4,7.0,6.25,9.4,14.0,16.75,22.4,14.75,27.75,46.5
34,discord bot music,43.0,39.0,41.25,57.6,49.75,39.5,38.6,78.75,54.75,45.2,41.5,52.0,50.25
35,discord music bots that support youtube,0.0,18.0,0.0,53.2,43.0,14.25,49.2,41.5,7.25,8.2,11.75,0.0,29.25
36,discord music bot that plays spotify,0.0,19.25,0.0,12.2,25.0,14.0,22.4,0.0,14.0,27.8,11.25,10.0,0.0
37,maki music bot,0.0,25.25,0.0,20.0,14.0,5.5,20.0,15.75,29.25,0.0,9.5,25.75,0.0
38,maki bot,27.0,20.5,19.0,9.2,15.0,35.75,21.8,62.75,34.5,47.0,44.0,41.5,35.5
39,maki discord bot,36.0,7.0,7.5,12.2,8.0,6.75,2.8,21.75,20.0,19.8,16.25,24.5,38.75
40,quill bot,11.0,27.75,54.25,56.6,59.25,48.75,60.0,94.5,88.0,87.2,66.5,32.0,24.25
41,fm bot,55.0,41.5,42.25,31.2,27.75,47.75,32.6,51.5,66.0,53.4,40.0,35.5,54.75
42,aiode bot,0.0,7.75,15.25,15.8,16.0,14.25,8.2,34.0,20.5,28.2,23.5,45.0,52.75
43,youtube to mp3,99.0,89.25,86.25,81.8,79.5,79.5,76.6,83.0,83.5,94.2,92.75,79.5,84.75
44,ear tensifier,0.0,22.25,23.75,13.6,15.25,15.0,0.0,30.25,25.0,17.0,19.0,10.75,15.25
45,discord,100.0,93.75,87.25,82.6,83.0,87.25,87.4,86.75,91.25,90.0,86.25,97.0,92.0
46,carlbot,89.0,72.0,50.25,56.2,52.5,48.5,58.0,56.5,53.0,55.0,50.25,68.75,64.0
47,how to add music bot to discord,61.0,46.25,46.25,16.6,62.0,30.75,35.4,31.0,43.25,53.2,48.25,47.25,39.0
48,how to add music to discord,68.0,63.5,44.0,50.2,56.75,45.25,54.8,54.5,46.25,55.6,59.75,47.0,39.5
49,how to add bots to discord,74.0,70.25,59.75,49.2,43.0,36.5,41.4,47.0,49.5,41.4,48.25,58.75,51.5
50,how to add discord bots,60.0,70.0,40.0,55.6,46.0,45.75,56.4,41.5,43.75,37.0,41.0,46.5,61.0
51,how to add a bot to discord server,61.0,43.0,43.25,22.2,35.0,13.5,31.2,25.5,34.75,56.2,30.0,26.75,43.0
52,how to add a bot to a discord server,100.0,61.75,29.75,34.4,29.25,21.75,21.4,18.75,18.25,35.2,34.75,35.0,39.25
53,how to add a bot in discord,26.0,25.5,16.0,18.6,23.25,13.5,49.2,18.75,9.5,14.2,30.25,17.25,12.75
54,how to add a bot on discord,42.0,26.75,37.75,38.6,15.5,41.5,14.0,18.25,19.0,21.4,15.0,15.25,35.25
55,how to add bots to discord server,52.0,64.75,38.75,34.6,20.75,24.5,37.2,38.75,27.75,32.0,24.75,40.0,55.25
56,youtube music bot,16.0,21.0,25.0,66.8,45.25,34.25,33.8,52.75,32.75,34.2,23.5,35.25,58.75
57,how to add a music bot to discord,49.0,13.75,39.25,25.0,14.0,27.0,7.8,28.0,6.25,43.4,37.5,33.75,45.75
58,carl bot discord,100.0,66.75,52.25,44.8,35.5,49.0,57.4,57.5,47.5,54.4,53.75,53.5,52.25
59,how to make a discord bot,58.0,67.25,46.5,50.2,55.0,55.0,51.2,64.5,59.0,55.2,47.25,56.75,76.5
60,carl bot,95.0,78.75,60.25,53.0,54.25,54.25,62.4,61.25,56.0,60.2,52.25,67.5,61.0
61,mee6,100.0,85.5,71.5,70.4,66.5,60.25,64.2,69.5,67.0,62.0,55.25,58.0,66.0
62,mee6 discord bot,93.0,83.75,65.75,69.0,61.75,43.0,61.2,69.75,62.25,64.2,52.5,69.0,74.75
63,how to add mee6 to discord,4.0,4.0,6.75,4.0,6.5,3.5,5.6,1.75,2.0,5.4,4.5,6.75,28.75
64,how to add music bot to discord server,81.0,0.0,35.0,20.2,20.75,28.75,52.4,7.0,46.0,12.4,0.0,16.5,17.75
65,how to add roles in discord,55.0,24.75,46.0,50.0,54.5,50.75,56.8,68.25,37.0,55.0,46.5,71.75,19.0
66,midjourney,40.0,43.0,27.75,13.0,17.25,32.0,43.4,46.25,71.5,73.8,61.5,55.25,49.0
67,youtube music,75.0,85.75,88.0,85.4,85.75,88.0,81.2,85.25,90.5,84.4,85.0,74.5,71.75
68,how to add midjourney bot to discord,56.0,27.25,17.5,7.2,16.75,0.0,5.4,8.5,17.75,8.2,27.25,25.0,8.5
69,midjourney discord,57.0,55.25,36.0,13.2,18.0,30.25,45.6,50.75,74.5,70.8,66.5,50.75,43.75
70,midjourney bot discord,56.0,48.5,19.5,9.6,10.0,10.0,14.8,18.25,16.0,17.8,18.25,8.0,6.0
71,midjourney bot,34.0,49.5,10.5,5.4,8.25,8.0,10.4,10.75,12.25,11.4,11.75,5.75,4.0
72,how to add clyde bot to discord,0.0,0.0,5.5,0.0,0.0,12.25,5.6,34.0,17.25,39.2,8.0,6.5,29.25
73,midjourney ai,80.0,65.25,48.75,19.8,22.75,45.25,56.0,53.5,72.5,77.0,68.0,55.25,53.25
74,top gg,43.0,43.5,43.0,29.8,34.75,34.25,32.0,36.25,29.75,36.0,32.5,32.5,63.0
75,soundcloud,69.0,80.25,92.0,90.6,83.75,84.75,82.4,79.75,77.0,76.6,75.5,62.0,60.75
76,best discord music bot,53.0,29.75,25.25,33.0,39.75,31.75,32.0,52.25,45.75,18.8,31.75,27.5,49.75
77,top.gg discord,55.0,44.5,13.25,57.4,61.5,41.5,45.0,57.5,47.0,56.2,40.75,54.5,52.0
78,discord bot for music,60.0,56.75,50.25,61.2,67.5,47.75,30.8,75.5,42.0,35.2,36.75,33.0,52.75
79,top.gg,57.0,56.0,50.0,35.6,51.75,36.25,52.8,45.5,55.0,52.0,47.75,53.25,57.75
80,discord api,79.0,64.25,54.5,50.2,64.25,79.0,68.4,71.75,88.25,75.4,68.75,85.0,62.75
81,discord developer,75.0,66.25,52.75,45.0,85.5,85.5,85.0,78.0,66.5,77.8,70.75,91.0,77.25
82,probot,45.0,40.25,41.25,41.4,48.0,37.25,39.2,58.75,31.5,25.2,25.25,28.75,37.0
83,discord carl bot,100.0,66.75,52.25,44.8,35.5,49.0,57.4,57.5,47.5,54.4,53.75,53.5,52.5
84,carl bot roles,77.0,68.0,48.0,46.6,37.5,38.0,39.4,44.5,35.75,49.8,33.75,50.5,26.0
85,reaction roles carl bot,39.0,66.0,36.75,26.0,35.0,23.25,27.2,44.75,36.5,37.4,26.75,39.5,18.0
86,reaction roles,100.0,74.25,73.0,69.0,63.0,55.5,62.0,68.75,66.25,64.2,55.5,58.5,54.5
87,reaction roles bot,95.0,83.0,65.25,46.6,39.0,42.0,59.8,51.5,57.5,36.0,59.25,53.75,61.75
88,add carl bot,34.0,24.5,24.5,16.4,8.5,25.5,15.6,12.0,10.5,20.2,15.75,22.0,41.0
89,youtube discord music bot,9.0,19.5,21.75,72.2,39.0,32.75,29.8,56.0,44.5,37.8,32.25,28.75,28.5
90,carl bot dashboard,42.0,19.25,21.75,9.2,25.0,19.5,16.0,15.5,24.5,18.6,10.5,12.25,39.0
91,dyno,100.0,93.25,88.25,84.2,76.25,75.0,82.2,87.75,86.75,87.2,88.5,90.0,90.0
92,dyno bot,84.0,74.25,55.5,47.4,53.75,46.0,47.2,50.75,46.5,48.2,44.5,45.75,46.5
93,discord role bot,100.0,64.5,55.75,50.8,48.5,46.25,52.6,44.25,41.25,50.4,55.75,57.75,59.5
94,discord reaction roles,100.0,62.5,68.5,47.8,50.0,43.25,66.8,56.5,55.0,45.8,50.0,60.75,43.75
95,mee6 discord,91.0,79.5,66.75,66.4,61.75,49.5,59.4,63.75,64.75,65.6,51.25,58.75,73.25
96,reaction role bot,47.0,48.25,43.5,36.8,30.0,25.75,33.4,28.5,21.25,39.4,31.5,28.25,47.0
97,carl bot reaction role,38.0,47.0,25.25,29.0,19.0,41.5,10.2,26.0,16.5,40.2,39.5,6.25,14.75
98,carl bot commands,40.0,39.75,17.75,6.8,23.25,28.25,13.6,7.5,13.5,22.4,25.0,27.75,42.25
99,how to use carl bot,0.0,22.0,35.75,21.8,25.25,30.25,54.8,33.0,31.5,11.6,17.25,49.5,39.25
100,emojis,43.0,43.0,45.25,42.8,42.25,42.5,40.8,42.25,56.75,78.2,55.0,50.25,46.0
101,white boy carl,18.0,10.0,8.75,10.4,13.5,10.5,23.2,21.75,42.75,79.8,69.0,56.0,25.0
102,imgur,86.0,92.75,85.25,85.4,81.0,78.75,76.2,76.0,75.25,82.6,81.0,72.75,74.0
103,webp to png,91.0,78.5,81.5,83.6,84.5,82.75,89.0,94.0,92.75,94.4,93.25,81.75,74.25
104,how to add reaction roles on discord,0.0,16.25,30.25,13.8,13.75,50.0,20.2,17.0,0.0,11.6,17.0,40.25,0.0
105,discord web,84.0,84.75,73.75,74.4,75.75,79.5,82.0,86.75,82.0,85.8,94.75,94.75,92.0
106,copy and paste fonts,86.0,78.0,82.5,75.6,82.5,80.25,79.6,82.5,81.0,76.6,85.0,83.0,90.5
107,message id discord,83.0,47.25,60.25,50.6,69.5,28.5,59.8,22.5,26.75,77.8,70.0,42.5,36.75
108,red hex code,73.0,79.5,78.5,74.2,83.5,69.0,88.4,85.25,87.75,79.4,85.0,75.0,84.25
109,carl bit,41.0,38.0,22.0,40.8,35.0,38.5,35.2,82.75,60.75,51.2,24.0,38.0,31.75
110,bump reminder bot,84.0,34.75,41.25,27.0,6.5,9.75,3.6,17.5,18.25,7.4,10.75,37.5,6.25
111,dyno dashboard,75.0,47.25,42.5,30.8,33.75,58.5,51.6,23.0,26.5,23.6,27.0,30.0,29.75
112,how to make reaction roles on discord,7.0,0.0,9.5,2.8,10.5,0.0,4.0,9.0,1.75,3.4,1.5,4.5,27.5
113,white bot carl,0.0,31.0,22.25,10.8,0.0,22.0,0.0,50.25,11.25,28.0,60.5,19.75,0.0
114,counting bot,66.0,42.5,33.0,37.0,55.25,17.25,34.8,41.25,58.25,57.0,53.5,29.75,43.25
115,streamcord,21.0,28.5,32.75,36.0,24.75,28.0,34.4,32.75,38.0,35.4,30.25,22.25,52.75
116,roles bot discord,58.0,51.75,45.25,40.2,31.5,33.0,34.8,39.5,31.5,34.0,34.5,40.25,53.75
117,reaction role bot discord,100.0,35.0,37.5,27.2,22.75,12.0,26.6,24.0,10.5,30.6,23.75,28.25,61.75
118,discord rules,92.0,77.75,64.75,60.4,61.5,67.75,68.4,72.0,73.5,61.8,63.75,88.5,54.0
119,discord emojis,80.0,75.75,62.25,54.0,58.75,54.25,61.8,60.0,59.0,73.0,61.5,69.0,67.5
120,carl bot invite,19.0,26.25,23.5,3.6,13.0,37.25,21.8,3.75,13.0,11.0,13.75,11.75,5.5
121,pinterest,93.0,90.25,91.5,88.6,89.0,85.5,92.6,91.5,88.75,86.2,84.0,83.0,78.25
122,how to make reaction roles with carl bot,0.0,7.5,0.0,13.0,0.0,0.0,5.4,0.0,4.75,18.0,25.0,5.75,7.25
123,yggdrasil bot,71.0,56.25,42.25,47.6,65.75,59.0,38.6,42.25,35.75,30.4,38.5,60.5,36.0
124,announcement,16.0,15.0,17.5,15.2,36.5,22.5,15.6,15.25,16.25,16.0,15.5,15.0,12.75
125,how to use carl bot for roles,0.0,7.75,0.0,14.8,0.0,25.0,0.0,8.75,7.25,7.4,29.25,22.75,7.5
126,verification bot discord,44.0,55.5,47.0,31.4,35.5,28.75,37.8,42.75,63.25,35.8,5.5,49.0,42.0
127,arcane discord,41.0,24.75,21.5,19.2,20.5,20.0,24.8,27.25,29.25,22.0,19.5,18.75,51.25
128,how to make a bot,89.0,72.75,62.0,62.2,65.0,67.25,68.6,70.5,69.25,70.4,70.5,74.75,82.25
129,how to make discord bot,80.0,70.0,51.5,56.4,64.75,58.75,61.8,66.75,64.0,59.2,50.0,72.75,88.0
130,how to make a bot in discord,44.0,46.75,41.5,50.2,38.25,43.75,45.4,40.75,49.0,31.4,32.0,49.5,64.0
131,how to make a discord server,52.0,46.5,33.25,38.8,37.75,31.25,40.8,41.5,43.0,41.8,34.75,46.0,67.0
132,how to make a discord bot python,0.0,44.5,24.25,22.6,22.0,20.5,22.4,41.5,53.75,9.4,35.25,6.0,49.5
133,music bot,50.0,45.5,45.75,59.2,53.25,44.75,42.6,80.0,58.0,51.0,45.75,54.5,54.5
134,how to add a bot to discord,51.0,29.75,32.5,21.2,25.25,20.5,28.0,25.0,21.0,29.4,27.5,25.5,53.25
135,how to make a discord music bot,32.0,22.0,14.5,26.4,12.5,0.0,13.2,26.5,18.75,7.6,4.75,30.0,25.0
136,create a discord bot,47.0,66.0,35.25,32.8,52.5,67.25,73.8,53.75,60.75,66.0,51.75,54.5,51.0
137,how to code a discord bot,23.0,48.5,27.75,33.8,46.5,61.25,31.8,54.0,41.75,37.6,36.25,17.75,26.25
138,how to create a discord bot,68.0,46.0,42.0,42.0,44.25,52.25,55.0,58.0,53.75,58.8,44.0,21.0,59.5
139,chat gpt,0.0,0.0,0.0,0.0,0.5,28.75,46.4,62.5,84.5,94.2,75.5,51.5,39.0
140,ticket bot,99.0,70.5,54.25,43.8,68.25,53.5,59.0,59.0,67.0,64.6,53.0,59.25,59.75
141,discord bot maker,100.0,44.5,51.5,41.2,52.25,36.5,47.6,48.25,36.5,43.2,33.75,53.0,47.25
142,how to make a welcome channel discord,30.0,14.0,11.75,20.4,30.5,25.0,20.0,7.5,23.5,5.6,11.0,43.25,25.0
143,discord music bot,43.0,39.0,41.25,57.6,49.75,39.5,38.6,78.75,54.75,45.2,41.5,52.0,50.75
144,developer portal discord,90.0,70.5,50.5,51.6,79.5,82.0,59.6,67.5,65.0,74.8,68.0,80.75,75.0
145,how to make a music bot on discord,0.0,25.0,10.0,7.0,0.0,19.75,10.6,11.25,6.75,11.2,16.5,5.5,24.75
146,how to make a discord bot on mobile,35.0,18.25,7.5,26.2,22.25,0.0,11.2,0.0,7.75,7.4,33.25,6.75,17.5
147,how to turn on developer mode,89.0,74.75,64.5,85.4,71.75,59.5,55.2,47.25,68.75,62.8,58.5,70.75,53.5
148,visual studio code,77.0,83.25,85.0,75.4,69.5,63.25,82.8,82.75,78.25,77.8,71.25,69.5,62.75
149,reaction roles bot discord,84.0,79.75,63.5,66.6,52.5,40.25,48.0,57.25,45.0,31.6,57.25,53.5,35.25
150,role bot discord,100.0,64.5,55.75,50.8,48.5,46.25,52.6,44.25,41.25,50.4,55.75,57.75,68.0
151,yagpdb discord bot,100.0,22.5,24.75,15.4,27.0,11.75,13.4,17.75,17.0,18.8,22.0,17.5,23.5
152,carl-bot,18.0,19.0,12.0,11.4,18.25,19.0,11.0,11.5,9.0,15.4,25.25,18.75,37.0
153,arcane bot,81.0,48.75,41.0,37.6,27.5,32.75,42.0,39.0,48.75,48.6,44.5,45.25,60.0
154,discohook,69.0,60.25,57.25,48.0,47.25,51.75,62.0,73.25,65.25,64.0,61.25,68.75,68.25
155,dyno discord,98.0,76.25,71.75,56.0,58.25,52.25,61.4,57.25,47.75,54.2,54.25,51.75,54.25
156,dyno tune,36.0,32.0,38.25,29.6,28.0,26.5,29.2,36.0,34.25,40.8,34.75,38.75,50.0
157,dyno near me,60.0,72.75,51.25,51.0,48.5,46.75,57.2,70.0,67.0,62.2,68.75,61.5,68.5
158,engine dyno,53.0,74.0,78.5,62.4,56.25,60.75,88.2,82.0,70.5,63.4,64.5,67.5,44.25
159,dyno gt,23.0,32.75,29.75,25.8,24.25,18.5,19.8,24.25,20.0,29.0,31.75,33.25,45.25
160,dyno cam,59.0,65.0,77.75,67.2,61.75,64.25,75.0,77.75,69.5,78.6,80.5,61.75,78.5
161,dyno tuning near me,36.0,59.75,36.75,41.0,36.0,44.5,42.8,52.0,47.5,57.2,57.5,61.25,55.75
162,dyno for sale,44.0,74.0,65.0,65.8,46.75,56.25,76.0,71.5,50.75,52.8,55.75,58.0,60.25
163,dyno bike,30.0,34.75,26.5,22.6,21.5,13.0,15.0,18.0,16.75,22.2,31.5,32.25,45.0
164,dyno performance,34.0,34.0,27.0,26.2,23.75,24.25,25.2,26.0,32.25,32.4,27.0,27.0,42.0
165,dyno test,64.0,51.5,64.0,50.6,68.75,39.75,49.6,43.75,37.5,61.0,67.75,51.75,41.0
166,dyno nobel,39.0,29.75,44.25,47.8,26.5,38.5,34.8,28.75,25.75,25.0,36.5,47.25,31.0
167,motorcycle dyno,18.0,36.0,23.5,27.0,24.25,12.0,27.6,30.0,27.0,34.8,53.25,43.5,50.75
168,dyno bmx,61.0,61.5,55.5,42.2,52.75,32.0,32.2,50.25,39.5,47.8,71.25,66.5,49.25
169,dyno air,58.0,62.5,62.25,45.8,40.75,33.25,53.4,66.75,57.0,41.0,67.25,62.25,47.5
170,dyno jet,82.0,57.0,71.0,29.4,27.25,38.25,38.2,60.75,34.0,65.4,60.0,36.75,33.75
171,dyno shop,43.0,57.5,29.25,39.2,16.75,22.0,23.2,32.0,16.5,30.8,41.75,31.0,34.25
172,moore mafia,28.0,28.0,22.25,20.6,35.5,27.5,17.8,43.5,43.5,43.8,67.5,37.0,23.75
173,who owns dyno nobel,62.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,43.0,15.4,0.0,18.25,0.0
174,dyno climbing term,34.0,10.0,0.0,12.8,5.5,8.25,0.0,0.0,10.0,20.0,5.75,7.5,13.75
175,1/4 mile calculator,66.0,77.5,80.25,68.0,51.0,40.5,58.6,50.75,57.0,63.8,65.5,55.5,75.75
176,land and sea dyno,0.0,11.75,0.0,11.6,38.0,22.0,20.6,0.0,0.0,11.8,20.25,15.25,25.0
177,discord fonts,66.0,59.25,51.75,47.6,56.75,48.5,50.6,52.0,47.25,44.8,53.5,65.0,72.75
178,double dyno piercing,9.0,1.25,22.5,2.0,0.0,4.75,1.8,1.5,0.0,3.8,2.75,2.0,25.0
179,dyno don nicholson,0.0,20.5,7.0,26.2,7.0,23.0,0.0,0.0,0.0,20.0,29.5,23.0,24.75
180,harrell engine and dyno,0.0,7.0,8.0,16.0,7.0,19.0,6.2,31.0,24.75,15.2,18.25,8.25,9.0
181,dyno nobel st helens,0.0,0.0,0.0,11.8,0.0,25.0,0.0,33.5,12.0,36.4,0.0,17.75,0.0
182,dymo label maker,82.0,74.5,64.75,55.8,64.25,62.0,76.2,69.0,73.0,52.6,55.75,68.5,61.25
183,lethal performance and dyno,0.0,0.0,12.75,16.6,0.0,24.75,0.0,11.0,36.0,0.0,13.0,0.0,0.0
184,comp cams,77.0,88.5,78.5,70.6,68.5,69.5,78.8,84.75,83.75,84.0,79.0,73.25,58.25
185,hub dyno for sale,0.0,0.0,7.75,0.0,8.5,17.75,10.6,15.5,0.0,8.4,39.0,22.25,0.0
186,virtual dyno,24.0,28.25,6.5,18.6,21.75,24.75,4.2,9.75,24.5,12.0,9.25,32.25,4.75
187,carl,68.0,70.5,76.0,66.2,64.75,63.75,78.4,77.25,82.0,80.0,81.25,70.75,67.0
188,dyno bot commands,0.0,36.0,19.75,23.6,21.5,13.25,20.8,21.25,28.5,31.8,28.5,0.0,27.5
189,dyno commands,100.0,11.75,38.75,27.2,16.0,29.25,20.4,17.5,19.0,11.8,8.0,16.5,32.25
190,dyno bot invite,70.0,25.0,17.5,16.6,4.75,6.5,10.0,14.75,11.75,0.0,11.25,20.0,10.0
191,yagpdb,97.0,78.75,51.0,45.8,40.25,50.75,45.2,42.25,38.5,44.2,37.5,38.75,57.5
192,dank memer,100.0,76.75,52.25,34.6,34.5,31.25,31.4,34.25,31.75,31.6,27.0,27.75,18.0
193,ticket bot discord,66.0,58.0,45.5,30.0,25.75,46.25,32.6,42.0,42.5,42.2,45.0,43.5,39.0
194,dank memer bot,51.0,91.75,52.5,47.0,51.0,46.0,29.8,30.5,23.5,41.4,31.25,35.25,20.0
195,dynobot,29.0,36.75,21.0,17.0,29.75,15.75,22.8,29.0,18.75,16.6,19.5,42.75,21.0
196,pingcord discord bot,0.0,30.5,21.75,3.6,7.5,17.0,0.0,0.0,20.25,0.0,7.25,0.0,5.0
197,discord dyno bot,100.0,81.5,74.0,50.0,61.5,49.25,51.2,52.0,50.5,48.4,51.0,55.5,35.75
198,discord dyno,100.0,72.25,67.75,54.8,67.25,51.5,55.4,57.0,50.25,52.8,54.0,62.0,41.75
199,security bot,65.0,59.25,55.25,50.0,67.5,61.0,51.0,68.0,53.25,70.0,70.0,66.0,56.25
200,auto role discord bot,78.0,30.5,0.0,0.0,18.75,0.0,21.8,28.25,7.25,47.6,10.25,34.75,12.5
201,role assign bot discord,0.0,24.5,9.25,6.8,5.25,12.0,39.0,36.0,0.0,13.4,0.0,15.5,29.75
202,zira discord bot,35.0,4.75,14.25,6.8,16.0,20.75,14.6,20.0,3.0,3.0,6.25,9.5,41.75
203,mee6 dashboard,29.0,54.25,59.25,55.6,31.0,39.25,53.8,24.75,61.75,35.0,30.0,50.0,12.25
204,yagpdb reaction roles,100.0,23.75,0.0,6.2,18.75,11.25,23.4,40.75,30.75,7.0,6.0,46.5,17.5
205,bot,89.0,84.5,76.5,73.6,72.0,77.0,81.2,84.0,79.75,86.4,80.5,77.0,81.5
206,music bots discord,29.0,32.75,26.0,47.0,38.0,30.0,27.8,74.75,41.0,36.6,29.5,39.75,28.25
207,bots for discord,62.0,64.75,49.75,59.4,57.5,60.5,56.6,72.25,59.0,58.8,48.25,58.0,68.5
208,discord server,92.0,80.25,67.5,64.4,67.75,69.0,71.4,70.5,70.0,78.2,76.0,87.25,90.75
209,discord server bots,83.0,80.25,56.75,47.0,49.0,46.75,51.6,49.5,54.75,50.0,42.0,52.25,63.5
210,add bots to discord,57.0,68.75,41.0,49.6,36.5,34.5,44.0,41.25,45.5,34.0,37.0,46.5,44.75
211,best discord bots,79.0,76.5,46.5,51.8,48.0,56.5,48.0,56.75,55.5,48.8,52.25,48.75,42.75
212,discord youtube bots,4.0,10.75,5.0,45.8,32.0,16.75,20.6,36.5,19.25,21.2,7.5,16.75,37.5
213,discord mee6,93.0,81.5,66.75,65.8,63.25,52.0,56.8,62.75,62.25,63.4,54.75,62.0,75.5
214,add bots to discord server,65.0,79.25,43.0,43.4,37.0,48.25,43.0,43.25,41.5,34.6,35.25,47.0,68.75
215,bots to add to discord server,65.0,69.5,42.5,34.8,28.0,34.5,52.2,36.0,33.0,30.4,37.5,50.0,47.25
216,aiode discord bot,0.0,28.25,6.0,20.0,53.5,20.5,33.0,41.75,42.75,10.4,36.25,56.5,40.75
217,music bots for discord 2022,15.0,0.0,13.0,29.4,28.75,31.75,9.6,26.75,18.5,9.2,0.0,8.5,0.0
218,discord bots music,29.0,32.75,26.0,47.0,38.0,30.0,27.8,74.75,41.0,36.6,29.5,39.75,28.25
219,music bots for discord,41.0,32.0,26.75,40.4,35.25,21.75,31.6,78.0,31.25,31.4,12.25,21.75,13.25
220,hydra discord bot,57.0,56.0,59.25,72.4,54.0,56.25,46.0,52.5,25.75,23.8,17.75,12.75,11.25
221,fredboat discord bot,79.0,55.5,47.5,60.4,47.25,22.75,28.2,76.5,44.0,33.0,31.5,29.25,52.5
222,jockie music commands,49.0,14.5,13.25,30.2,57.0,10.5,15.6,57.5,17.0,48.0,29.0,35.75,23.25
223,fred boat,87.0,57.0,69.5,56.2,59.0,44.0,42.8,56.0,60.25,60.4,65.75,61.5,59.75
224,fred bot,22.0,42.25,29.0,27.0,46.0,16.5,27.2,24.0,16.25,32.0,12.0,5.75,21.0
225,how to use hydra bot,83.0,64.25,0.0,20.6,22.25,44.25,5.6,0.0,8.75,26.4,46.75,20.25,0.0
